DrakSlime  0 1
SpotSlime  0 2
WingSlime  0 3
TreeSlime  0 4
Snaily     0 5
SlimeNite  0 6
Babble     0 7
BoxSlime   0 8
KingSlime  0 9
DragonKid  1 0
Tortragon  1 2
Pteranod   1 3
Gasgon     1 4
FairyDrak  1 5
LizardMan  1 6
Poisongon  1 7
Swordgon   1 8
Orochi     1 9
Tonguella  2 0
Almiraj    2 1
CatFly     2 3
PillowRat  2 4
Saccer     2 5
Skullroo   2 7
WindBeast  2 8
Grizzly    2 6
DarkHorn   2 9
Picky      3 0
Wyvern     3 1
BullBird   3 2
FloraJay   3 4
DuckKite   3 5
MadPecker  3 6
MadRaven   3 7
MistyWing  3 8
ZapBird    3 9
MadPlant   4 0
FireWeed   4 1
FloraMan   4 2
WingTree   4 3
CactiBall  4 5
Gulpple    4 6
Toadstool  4 7
AmberWeed  4 8
RoseVine   4 9
GiantSlug  5 0
Catapila   5 1
Gophecada  5 2
Butterfly  5 3
WeedBug    5 4
GiantWorm  5 6
Lipsy      5 7
StagBug    5 8
Digster    5 9
Pixy       6 0
ArcDemon   6 9
Demonite   6 3
DarkEye    6 4
EyeBall    6 5
SkulRider  6 7
EvilBeast  6 8
Gremlin    6 2
MedusaEye  6 1
Spooky     7 0
Putrepup   7 2
RotRaven   7 3
Mummy      7 4
DarkCrab   7 5
DeadNite   7 6
Shadow     7 8
MadSpirit  7 1
WhiteKing  7 9
JewelBag   8 0
EvilWand   8 1
MadCandle  8 2
CoilBird   8 3
Facer      8 4
SpikyBoy   8 5
MadMirror  8 6
RogueNite  8 7
Balzak     8 9
