MadDragon  Gasgon 2   
GulpBeast  Grizzly 1  
GulpBeast  Yeti 1     
GulpBeast  Trumpeter 1
GulpBeast  BigEye 1   
GulpBeast  Grizzly 6  
WindBeast  CatFly 3   
Anteater   Saccer 1   
Unicorn    Tonguella 0
Unicorn    GulpBeast 0
Unicorn    Grizzly 0  
Unicorn    Yeti 0     
Unicorn    Goategon 0 
Unicorn    WildApe 0  
Unicorn    Trumpeter 0
WildApe    Almiraj 1  
Trumpeter  SuperTen 1 
Dracky     Picky 0    
LandOwl    BullBird 2 
MadGoose   Wyvern 1   
MadGoose   LandOwl 1  
MadGoose   MadCondor 1
MadGoose   Phoenix 1  
MadGoose   Wyvern 7   
MadGoose   LandOwl 7  
MadGoose   MadCondor 7
MadGoose   Phoenix 7  
MadCondor  LandOwl 6  
StubSuck   AmberWeed 2
DanceVegi  MadPlant 2 
FaceTree   HerbMan 1  
HerbMan    DanceVegi 6
ArmyAnt    GiantSlug 0
TailEater  WeedBug 4  
ArmorPede  GiantWorm 8
ArmorPede  Droll 1    
Eyeder     Catapila 2 
GiantMoth  Butterfly 6
Droll      Lipsy 0    
MadHornet  Eyeder 7   
MadHornet  Droll 7    
HornBeet   ArmorPede 6
ArcDemon   GateGuard 7
ArcDemon   Ogre 1     
AgDevil    SkulRider 1
AgDevil    EvilBeast 1
AgDevil    Gremlin 1  
AgDevil    MedusaEye 1
1EyeClown  Pixy 0     
1EyeClown  Demonite 0 
1EyeClown  EyeBall 0  
MedusaEye  MedusaEye 7
MedusaEye  1EyeClown 7
MedusaEye  Gremlin 7  
Lionex     ArcDemon 7 
Goathorn   ArcDemon 2 
Ogre       GateGuard 1
GateGuard  Ogre 7     
Grendal    SkulRider 2
Grendal    EvilBeast 2
Grendal    Gremlin 2  
Grendal    MedusaEye 2
Gigantes   SkulRider 7
Gigantes   EvilBeast 7
Centasaur  ArcDemon 1 
Centasaur  Ogre 2     
Centasaur  GateGuard 2
EvilArmor  ArcDemon 8 
EvilArmor  Ogre 8     
EvilArmor  GateGuard 8
Skullgon   Skullgon 1 
Skullgon   DeadNoble 1
Skullgon   WhiteKing 1
Skullgon   BoneSlave 1
Skullgon   Skeletor 1 
Hork       Spooky 2   
NiteWhip   DarkCrab 6 
NiteWhip   MadSpirit 6
MadSpirit  Skullgon 3 
MadSpirit  DeadNite 3 
MadSpirit  Mudron 3   
MadSpirit  DeadNoble 3
MadSpirit  BoneSlave 3
MadSpirit  Skeletor 3 
WindMerge  RotRaven 3 
Reaper     Spooky 6   
Reaper     Hork 6     
Skeletor   MadSpirit 1
Servant    WhiteKing 6
Goopi      JewelBag 0 
MetalDrak  MetalDrak 1
MetalDrak  Roboster 1 
Balzak     LavaMan 6  
Balzak     IceMan 6   
CurseLamp  Roboster 3 
EvilPot    Gismo 6    
Mimic      Roboster 7 
BombCrag   Roboster 5 
